district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
JHABUA,MADHYA PRADESH,22.419578283030983,74.40921664013642,21.92539978027338,23.241199493408203,74.03466796875006,75.01442718505865
KATNI,MADHYA PRADESH,23.72441421089997,80.33819691150467,23.302919387817326,24.138179779052848,79.7933959960937,80.95056915283232
MANDLA,MADHYA PRADESH,22.7034843865042,80.38600535249518,22.204530715942383,23.17458915710455,79.94589996337896,80.99944305419939
MANDSAUR,MADHYA PRADESH,24.192786680561444,75.4358871851841,23.763948440551758,24.765529632568303,74.88017272949224,75.92504119873053
MORENA,MADHYA PRADESH,26.373135212324954,77.8844713170724,25.90731811523449,26.87437057495123,77.10938262939447,78.53504943847662
NARSINGHPUR,MADHYA PRADESH,22.951342976654047,79.00202550283493,22.61791038513178,23.255489349365178,78.43696594238287,79.63359832763689
NEEMUCH,MADHYA PRADESH,24.70311807759608,75.06608126831065,24.245878219604492,25.05379295349121,74.71193695068365,75.60951995849615
PANNA,MADHYA PRADESH,24.4513240628558,80.21133170895904,23.82259750366211,25.082069396972656,79.73092651367193,80.66956329345709
RAISEN,MADHYA PRADESH,23.292517516924036,78.16305502601303,22.79311943054205,23.748991012573242,77.35743713378912,78.80918884277372
RAJGARH,MADHYA PRADESH,23.785497715808138,76.66431222207369,23.459781646728516,24.28504943847662,76.20121765136724,77.22319793701183
RATLAM,MADHYA PRADESH,23.503561885663302,75.14895728979708,23.090431213378906,23.920740127563477,74.51830291748064,75.68947601318365
REWA,MADHYA PRADESH,24.861186581312374,81.57572365049498,24.323780059814396,25.195749282837028,81.03894042968767,82.29860687255865
SAGAR,MADHYA PRADESH,23.800318183787113,78.71940333570565,23.17254066467291,24.45393943786621,78.05333709716797,79.34546661376959
SATNA,MADHYA PRADESH,24.627774055502872,80.7554707058067,23.96800041198736,25.195600509643782,80.34780120849615,81.3828964233399
SEHORE,MADHYA PRADESH,22.929718447317168,77.06780211962432,22.562091827392635,23.69078063964855,76.44377136230486,78.02928924560541
SEONI,MADHYA PRADESH,22.33230374866339,79.66053757281921,21.590280532837028,22.95726013183588,79.19370269775419,80.28414916992216
SHAHDOL,MADHYA PRADESH,23.44859760448039,81.45968350653735,22.646070480346737,24.28489112854004,80.99359893798834,81.97508239746111
SHAJAPUR,MADHYA PRADESH,23.566618762347687,76.33555216371484,23.109060287475586,24.331510543823242,75.68447875976568,77.04810333251964
SHEOPUR,MADHYA PRADESH,25.780147493500127,77.16911085200894,25.275360107421932,26.225072860717717,76.47778320312506,77.66129302978521
SHIVPURI,MADHYA PRADESH,25.378024079033963,77.74861611904477,24.840070724487532,25.921510696411246,77.00660705566423,78.46092987060541
SIDHI,MADHYA PRADESH,24.17547213675655,82.10537523302602,23.7842311859132,24.706281661987305,81.2983474731447,82.8077774047851
TIKAMGARH,MADHYA PRADESH,25.14099651853113,78.89357000704659,24.443130493164062,25.560770034790096,78.42736053466791,79.34198760986345
UJJAIN,MADHYA PRADESH,23.319288398892326,75.803836298924,22.83401107788086,23.762149810791072,75.13405609130865,76.24955749511719
UMARIA,MADHYA PRADESH,23.596010692699572,80.90879509728238,23.195989608764762,24.096130371093864,80.52242279052734,81.26161956787121
VIDISHA,MADHYA PRADESH,23.828382818417907,77.90135132677213,23.34876251220726,24.353149414062557,77.2554931640625,78.29283142089855
WEST NIMAR,MADHYA PRADESH,22.02713882544527,75.87343660935835,21.376089096069336,22.550580978393498,75.21029663085938,76.23700714111345
AHMEDNAGAR,MAHARASHTRA,19.217598854741016,74.69220182599203,18.33048057556175,19.98856925964367,73.62877655029303,75.54601287841803
